Devices
1200
,,Imported Kistler Force Plate 1.1.0.0 #2 - Force,,,Imported Kistler Force Plate 1.1.0.0 #2 - Moment,,,Imported Kistler Force Plate 1.1.0.0 #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
4,2,-0.63029,3.68165,-713.353,8363.32,24177.5,-18.4869,773.893,278.276,0
4,3,-0.623801,3.68442,-713.377,8370.23,24192.9,-20.0126,773.913,278.267,0
4,4,-0.617261,3.68699,-713.401,8376.95,24208.3,-21.5103,773.934,278.258,0
4,5,-0.610671,3.68936,-713.425,8383.46,24223.5,-22.9714,773.954,278.249,0
4,6,-0.604024,3.69153,-713.449,8389.75,24238.6,-24.3899,773.974,278.241,0
4,7,-0.597312,3.69351,-713.472,8395.83,24253.5,-25.7619,773.994,278.232,0
4,8,-0.590529,3.6953,-713.496,8401.69,24268.4,-27.0857,774.013,278.225,0
4,9,-0.583667,3.69692,-713.518,8407.31,24283,-28.3611,774.033,278.217,0
5,0,-0.576718,3.69838,-713.541,8412.7,24297.5,-29.5885,774.052,278.21,0
5,1,-0.569668,3.69968,-713.563,8417.85,24311.9,-30.7695,774.071,278.203,0
5,2,-0.5625,3.70083,-713.585,8422.72,24326.1,-31.9058,774.09,278.197,0
5,3,-0.555197,3.70182,-713.606,8427.32,24340.1,-32.9998,774.109,278.191,0
5,4,-0.547739,3.70265,-713.626,8431.62,24354,-34.0545,774.127,278.185,0
5,5,-0.54011,3.7033,-713.646,8435.6,24367.7,-35.0736,774.145,278.18,0
5,6,-0.532297,3.70379,-713.664,8439.25,24381.2,-36.0614,774.163,278.175,0
5,7,-0.524282,3.7041,-713.681,8442.55,24394.5,-37.0221,774.181,278.17,0
5,8,-0.516047,3.70424,-713.696,8445.5,24407.7,-37.9605,774.199,278.167,0
5,9,-0.507565,3.7042,-713.71,8448.09,24420.7,-38.8806,774.217,278.163,0
6,0,-0.49881,3.704,-713.723,8450.35,24433.6,-39.7858,774.234,278.16,0
6,1,-0.489759,3.70365,-713.734,8452.28,24446.2,-40.6779,774.251,278.158,0
6,2,-0.4804,3.70316,-713.744,8453.9,24458.7,-41.5576,774.268,278.156,0
6,3,-0.470739,3.70257,-713.752,8455.23,24471.1,-42.4244,774.285,278.154,0
6,4,-0.460795,3.70188,-713.759,8456.28,24483.4,-43.2781,774.302,278.152,0
6,5,-0.450594,3.70111,-713.766,8457.06,24495.5,-44.1184,774.319,278.152,0
6,6,-0.44017,3.7003,-713.772,8457.58,24507.6,-44.9454,774.335,278.151,0
6,7,-0.42956,3.69945,-713.778,8457.85,24519.6,-45.7579,774.352,278.151,0
6,8,-0.418802,3.69859,-713.784,8457.9,24531.6,-46.5546,774.368,278.151,0
6,9,-0.407932,3.69772,-713.789,8457.75,24543.5,-47.3342,774.385,278.151,0
7,0,-0.396978,3.69686,-713.795,8457.43,24555.4,-48.0954,774.401,278.151,0
7,1,-0.385964,3.696,-713.801,8456.96,24567.3,-48.8362,774.418,278.152,0
7,2,-0.374912,3.69514,-713.808,8456.35,24579.2,-49.553,774.434,278.153,0
7,3,-0.363837,3.69429,-713.815,8455.63,24591.2,-50.241,774.45,278.154,0
7,4,-0.35275,3.69345,-713.823,8454.8,24603.1,-50.8945,774.467,278.156,0
7,5,-0.341649,3.69262,-713.831,8453.87,24615.1,-51.5068,774.483,278.157,0
7,6,-0.330517,3.6918,-713.84,8452.86,24627.1,-52.0703,774.499,278.159,0
