KneeAngles_X,KneeAngles_Y,KneeAngles_Z,AnkleAngles_X,AnkleAngles_Y,AnkleAngles_Z,HipAngles_X,HipAngles_Y,HipAngles_Z,PelvisAngles_X,PelvisAngles_Y,PelvisAngles_Z
1.8104375099334717,-3.0542291156413497,-5.439340530175606,-5.235772194343331,0.37300901412560594,8.607708585755706,22.668512100814834,1.2549838232495878,-3.379055401859749,-3.4309854270921685,-0.1516010340874515,-0.9571570576425581
1.7606674945939962,-2.8611904686094274,-5.15516188357082,-6.294260759627796,1.019566420204015,8.36853878250592,22.554892671745737,1.2772180507906228,-3.1495309486870617,-3.4413354817208806,-0.15754176890228644,-0.7435955580667755
1.9818573097713212,-2.6956035930754165,-4.811810936779537,-7.41489216462449,1.7314675967120494,7.949972517556724,22.454834556005764,1.3427188637528533,-2.924253689718736,-3.436946469354122,-0.1376038365755628,-0.5534702157698754
2.512241253327212,-2.5746140127690964,-4.384633337759465,-8.574934900982727,2.488090332185772,7.345765253470342,22.37020698926164,1.4633358802711076,-2.7200693292915883,-3.4178438830880085,-0.08641798601528611,-0.3901769629489555
3.2714305291582755,-2.4942080606055783,-3.8811792932459483,-9.646926902227573,3.201068070090038,6.628030150537677,22.29225532008227,1.6351896361649239,-2.5740623447846,-3.386423427122966,-0.006173235623714468,-0.2506693138284016
4.263021732452857,-2.4656052758926017,-3.2905271084117804,-10.613916901206077,3.8578550453381983,5.813594695285607,22.213745215047435,1.8632272802573482,-2.4948428619141874,-3.344929677837687,0.10413283877888913,-0.13375696520949187
5.394132145644268,-2.481133512594551,-2.6417772871106857,-11.404846145064282,4.4119346039721545,4.973998172298442,22.120631270817356,2.1346312522925652,-2.4871454689152745,-3.2961854475121366,0.23767335908423987,-0.032677962175472475
6.624221253732996,-2.5481338783154532,-1.9513391856413924,-11.926964315781994,4.811889523482259,4.163903192822712,21.99057156420089,2.4494551582448,-2.564856481912398,-3.241038935145672,0.3942656908439325,0.05522180976549984
7.867495241064625,-2.6542203861576334,-1.2598147369405481,-12.1852558100471,5.060717322153335,3.431133801538481,21.810858157128553,2.789752325794097,-2.7066507402046955,-3.182108418093104,0.5645894792807176,0.13785091965132334
9.06484859657059,-2.7948669826602313,-0.6015051942978347,-12.129131907247604,5.133888402403023,2.8327912508494775,21.55763684671462,3.1477027006650786,-2.9123509881938414,-3.1207096333198048,0.7451998458484036,0.22009719851517195
10.136373009124217,-2.9580125182073784,-0.018397875611991188,-11.803957227743766,5.048918991919367,2.3836670343929147,21.215044627837116,3.5047067452386376,-3.1523481164138367,-3.058175915409911,0.9261236748715959,0.3092308467463293
11.025187746859306,-3.1279063153973725,0.4560073031168048,-11.218113965995038,4.810450651428894,2.113620644398083,20.76381604870882,3.848524527720995,-3.4207859221224437,-2.9955196600618894,1.102047418758581,0.41053077096790114
11.710990056704492,-3.2906448835742506,0.8134319407598505,-10.465837493064106,4.468615233964341,1.9860125574215912,20.207232827601217,4.16804606159861,-3.694083267548553,-2.933897039595728,1.2662489385733884,0.5269763984933094
12.132816800158267,-3.4285195552115186,1.022954214754596,-9.59145182078872,4.044007866644193,2.0015824270348865,19.522540849254227,4.447711717364663,-3.958697114318861,-2.8746352697976674,1.4099107415136052,0.6645043452422498
12.319378862323306,-3.535282487284337,1.1040384942990533,-8.678415777146123,3.5842696303908186,2.1108609991539673,18.727779227897074,4.685658865113655,-4.203239628093545,-2.819012555252625,1.5300362038178696,0.8216826744814693
12.257416525263537,-3.5965710209644293,1.054670924009719,-7.771077357459549,3.1088027858090026,2.3019907833379323,17.82045262641072,4.87399933845998,-4.425633515264561,-2.7673757907669208,1.621385228485396,1.0005638742960627
11.985714968400645,-3.6194231531962378,0.8960598344664013,-6.920974224734117,2.6495180034355235,2.53703714672594,16.816836029782937,5.015025131147641,-4.619361025058733,-2.7229758341777486,1.6809206461585942,1.1973225612728453
11.520845193659747,-3.5990694484681587,0.6408704806320024,-6.153285594364899,2.2161025757194928,2.804097143161071,15.726367993047734,5.107609555499632,-4.788243273518184,-2.6863762805597764,1.7058543434801154,1.4106600903471276
10.920900299983154,-3.5485489853369394,0.3194469721369415,-5.46912113156776,1.8127271130321874,3.084827814619661,14.574026174384246,5.161677540568601,-4.939631888990744,-2.6589666143782846,1.69942994216579,1.6342239008519792
10.209949708117989,-3.4727363715285215,-0.05370157882182647,-4.876309587076393,1.4431127225400224,3.3696422889826128,13.369938319344193,5.178539773307612,-5.078790200557501,-2.6438202002796207,1.6583747687740917,1.8639291698720941
9.439323533606913,-3.384285301850604,-0.451221165178194,-4.3513907360331165,1.098357481536798,3.652585461396786,12.13596970137223,5.169299379865287,-5.217564154461908,-2.6419325895962347,1.588426190613947,2.0929040721007106
8.638042269567462,-3.289468094403644,-0.8557077338071738,-3.882111592630811,0.7758497846939142,3.9219701248944494,10.885408988348154,5.139077751361707,-5.355860250799875,-2.654412664593523,1.4910560746648973,2.3170041816142817
7.841858288795238,-3.19620355741248,-1.2465576577055004,-3.442883554234161,0.4645563048682127,4.178489821259841,9.63251535379403,5.096454676395114,-5.507005213520989,-2.683057388154383,1.371807906376032,2.5292678545998006
7.074074943981323,-3.1095700034297717,-1.6089029656392482,-3.01774014038828,0.1620336510243774,4.409343316461809,8.387379501861572,5.046682194764477,-5.667563880376486,-2.729074548024184,1.2339521864636867,2.7252937262949875
6.348878306716976,-3.031171254312894,-1.9352493901343997,-2.5904374319209262,-0.13652966755316076,4.61147477527802,7.156215639445273,4.995628317388404,-5.8366198343717315,-2.7911080016992402,1.0843501865606686,2.902923299893508
