RKneeAngles_X,RKneeAngles_Y,RKneeAngles_Z,LKneeAngles_X,LKneeAngles_Y,LKneeAngles_Z,RAnkleAngles_X,RAnkleAngles_Y,RAnkleAngles_Z,LAnkleAngles_X,LAnkleAngles_Y,LAnkleAngles_Z,RHipAngles_X,RHipAngles_Y,RHipAngles_Z,LHipAngles_X,LHipAngles_Y,LHipAngles_Z,RPelvisAngles_X,RPelvisAngles_Y,RPelvisAngles_Z,LPelvisAngles_X,LPelvisAngles_Y,LPelvisAngles_Z
-4.241036933902489,-1.4749863166074988,-5.8921652230411485,12.038203054064377,0.15591153821460874,-4.695985080653858,6.385648379857185,-3.655318783020452,4.92627331501899,-3.357820466542011,2.852296013773569,-0.519603042243347,-11.723490497494797,6.344446132354995,-10.155113152963251,25.586655571468917,0.5093704769026726,-4.918756954302937,-1.0508557090186026,-1.3547545524842624,3.6950540970226293,-1.0508557090186026,1.3547545524842624,-3.6950540970226293
-3.9961423719744196,-1.5526038627767234,-5.641143824392354,10.181435011388922,-0.1961578975263174,-5.322539887317216,6.757789043567089,-3.736399563432758,4.734455642207848,-3.5669227083803703,2.712829747277729,0.10669091358273476,-12.221852489424736,6.407262891761287,-10.254317296160155,25.706033719371472,0.44574477608737867,-5.097233034470383,-1.0977321019803592,-1.2913815550994694,3.5294164208644023,-1.0977321019803592,1.2913815550994694,-3.5294164208644023
-3.730272159140892,-1.6386274922635853,-5.387468669375679,8.432255100219642,-0.5199866880533668,-5.860595622145247,7.0987050389581,-3.810973559127379,4.55786565371283,-3.6852975086338287,2.519212959688447,0.7258226635031814,-12.724917438658796,6.461914237624455,-10.329073565813014,25.77538595125846,0.37331176425131357,-5.2327736591624605,-1.149201602755902,-1.2219961884787267,3.3467959832373846,-1.149201602755902,1.2219961884787267,-3.3467959832373846
-3.44764417188504,-1.732053712387258,-5.136808665034117,6.808037833093927,-0.8187788824275006,-6.3121192773673025,7.402227171000163,-3.879958796128969,4.406079899627357,-3.720907851297513,2.2777002653486704,1.3364663942210222,-13.234859311472896,6.5058431148527,-10.379052970819277,25.79673471015384,0.2952423953867877,-5.3192352832343595,-1.204953856065922,-1.1482791765524893,3.1483938635171795,-1.204953856065922,1.1482791765524893,-3.1483938635171795
-3.1505254470438073,-1.8319136053800418,-4.8941170157729115,5.324822210068985,-1.095317954745262,-6.679059347279294,7.663075806187244,-3.9440367128428155,4.28725135839702,-3.6894215285479834,2.0003774567469566,1.9343745975622282,-13.752390676255635,6.536388593797238,-10.403856655366619,25.772839149110094,0.2148370157841989,-5.352017666885646,-1.2644463712229936,-1.0719274401320706,2.9357537632435426,-1.2644463712229936,1.0719274401320706,-2.9357537632435426
-2.8391353224268223,-1.937365722163486,-4.663691913658036,3.9968770483092593,-1.3516441797831493,-6.963669753006136,7.876470819972508,-4.003532778450813,4.208170614815257,-3.6135066071553714,1.704232341756168,2.5137353736114867,-14.276512478707316,6.550915390600939,-10.40319780349515,25.707232698894767,0.13538621127156353,-5.328605669759829,-1.3268164802851519,-0.9945940388736142,2.7106808407149066,-1.3268164802851519,0.9945940388736142,-2.7106808407149066
-2.5114149202361467,-2.0477364796987585,-4.448814989695746,2.836093478138681,-1.5887407785127534,-7.16872908227656,8.037147618962281,-4.05795237830038,4.173658753967554,-3.5216139367679418,1.4103113040744808,3.067471135338935,-14.80459329943064,6.546765489990084,-10.377003006920912,25.60421211247152,0.0601906394043068,-5.248433329591714,-1.391122892988297,-0.9179748508353904,2.475270872405978,-1.391122892988297,0.9179748508353904,-2.475270872405978
-2.1631736273237925,-2.1625429948602126,-4.252002750547411,1.8515527168113983,-1.806355221711307,-7.297650830389956,8.139566840471197,-4.105744528524986,4.186325024852769,-3.4463799837711737,1.1423620816296034,3.5883805121586785,-15.332269663006679,6.521439005079267,-10.324974152249977,25.468533465855064,-0.007706252056225805,-5.113000633354347,-1.4561973558513095,-0.8437007328556098,2.231880126333484,-1.4561973558513095,0.8437007328556098,-2.231880126333484
-1.7882840293566873,-2.281423148072986,-4.075391216501931,1.0492375914883207,-2.0030818982535523,-7.354412949067141,8.176225509016676,-4.144149635612928,4.247329712157602,-3.422727639084601,0.9253836659465248,4.069695111112433,-15.853839617919094,6.472478615704745,-10.246344028475491,25.305226750383135,-0.06541882622105863,-4.9260865751637954,-1.5208868379240519,-0.7734303201990118,1.9829942872439177,-1.5208868379240519,0.7734303201990118,-1.9829942872439177
-1.3785835799023558,-2.404261970594474,-3.919993535188415,0.43176188050300507,-2.1764801331458856,-7.343917781810281,8.138257010208266,-4.168923731506576,4.355791686282072,-3.4856213432582415,0.7838667941594567,4.505459626633084,-16.361752865452623,6.397702814204456,-10.140220369988107,25.119560200853215,-0.11033704478789796,-4.693420498910713,-1.5839344447549581,-0.7087894408871765,1.7312632873978153,-1.5839344447549581,0.7087894408871765,-1.7312632873978153
-0.9244417943996119,-2.531071796454217,-3.786478579567683,-0.0015926530729324228,-2.323404226367627,-7.271601851350136,8.013828491197081,-4.174256389046094,4.509370204319748,-3.667525966128334,0.7401405402761436,4.89068283623953,-16.847664056566288,6.295266971488781,-10.005266805492653,24.91684518079165,-0.14020769119100782,-4.422878156559313,-1.6441206312705587,-0.6513203684632993,1.4793782875669188,-1.6441206312705587,0.6513203684632993,-1.4793782875669188
-0.41483486715851486,-2.662013539589918,-3.674512440572373,-0.25492033868244895,-2.440400763553258,-7.143254366147756,7.788523785178391,-4.152627485788939,4.703962019942247,-3.9956418898606203,0.8127395215397499,5.219979014740579,-17.301733233167294,6.163716173006066,-9.839836242591348,24.702193206753943,-0.153047937359492,-4.123964119161774,-1.7002737835256678,-0.6025220536860578,1.2300019079995534,-1.7002737835256678,0.6025220536860578,-1.2300019079995534
0.16224196074540168,-2.7973165881963546,-3.583328871078651,-0.33543888538555233,-2.524265353493063,-6.9648348845087,7.444811169426745,-4.095324567155479,4.934819216103076,-4.488906614701309,1.0146009688262188,5.486652462601614,-17.713704501196254,6.002002130780953,-9.642231023503848,24.480407629383638,-0.1471650661848776,-3.807790532933702,-1.751420221936493,-0.5638412047187257,0.98567067875242,-1.751420221936493,0.5638412047187257,-0.98567067875242
